UUID,TCGA_ID
18cbd510-bce2-4370-a00f-939d562ba7de,TCGA-A7-A6VX
c54b98cc-521e-4790-b67d-9dcc20af8c76,TCGA-A2-A1FW
49563aad-aeb3-4a9b-8849-a60c119cbaa4,TCGA-LD-A9QF
470b6305-67ca-487c-b9b1-9b74f673f9fd,TCGA-D8-A27K
c9c9c085-8e23-454c-aa36-cf59e8dbc587,TCGA-BH-A0BQ
3fab2674-2e00-4748-9d33-9e52631cebfd,TCGA-BH-A209
61ad862c-0bd2-4fcd-a9e1-f42e8099bd81,TCGA-A8-A09B
0af3ed73-d962-492c-9dc5-85247cd3de03,TCGA-AO-A1KS
45472a71-92d9-4492-9647-f1e8adb9cdea,TCGA-E2-A1IJ
d372fdcf-a087-4773-880a-169ecc0d1fd0,TCGA-D8-A1XC
a0707dab-b8bd-4a57-a890-69a3f4daacf6,TCGA-C8-A131
c102587f-0390-4dd5-8b35-d819e0083134,TCGA-A8-A0A9
b4e60c29-6c4d-49b4-878e-b91e20e17dad,TCGA-B6-A0RO
58b399a0-3070-44aa-9a40-f0e2c0fea0fc,TCGA-A7-A0CE
3574e83f-a983-425b-9082-63d5a32c01d6,TCGA-LL-A6FP
f09cc0c7-2896-479b-84db-401f14780092,TCGA-A8-A06U
a4455185-5506-4392-bd54-5f9cda2274d2,TCGA-A8-A09I
0361ec21-e83f-40a9-b825-d92487b1239a,TCGA-C8-A1HO
3572211c-0611-4d67-9e71-c5a8f704bd1f,TCGA-PL-A8LV
535047b2-35b4-4e31-8761-f38cf1f57441,TCGA-GM-A2DO
90950125-1b6b-499d-97e2-5d6b78b3e6fe,TCGA-AR-A0U0
511ced4c-a861-4f26-9e29-afcf8d603fab,TCGA-BH-A0BD
56cb5294-9156-4930-a3ab-c2607a79b65e,TCGA-BH-A0B1
8a27980e-a506-4cb3-91f2-3f0e5a19acfe,TCGA-A2-A0YM
b58811d7-8ee0-4b65-a892-17319cc9ecaf,TCGA-E2-A1IG
49e0a55e-cd18-438c-890a-f14c6d149743,TCGA-AR-A2LE
ea030b7d-26eb-4f0e-b7b9-c6b165061118,TCGA-BH-A0HA
7830107d-bc45-4391-b95c-787a246cf059,TCGA-AQ-A7U7
05ddce6e-57b0-4b78-9955-7c1b4c564498,TCGA-AC-A2FG
8668654e-c441-4279-80e3-345787c28922,TCGA-A2-A0CR
fdadb011-0da3-458f-8b4e-d09e4c847a5b,TCGA-BH-A0B0
b22d3e38-c370-4719-bea6-3dcbd9590935,TCGA-AO-A03O
06ae7b4d-2906-4a38-a4ef-1cc937716dcb,TCGA-BH-A0BM
08429604-2dc7-4827-8ba5-80818aa45a51,TCGA-AC-A2FF
7ee4348d-9975-42ba-b258-2334e089395c,TCGA-D8-A1JG
56f92378-3707-489e-b4bc-6f7485122484,TCGA-A8-A0A2
fff3f42f-5e42-4653-b91b-1676f914e9fa,TCGA-A7-A6VV
e7a1cdcf-ec99-44fd-a13b-604cf15b2bd4,TCGA-A8-A095
e558015e-969b-4354-9bc9-219a60092734,TCGA-A2-A25B
2e1410fb-4799-4a85-97e2-0d05c9255977,TCGA-BH-A1FE
8f08cee9-a91f-4305-bf8d-efeee9cd386c,TCGA-BH-A1FE
f9506da9-20a3-4124-a614-eb525787ea45,TCGA-A2-A3XX
7135f14b-e84f-4ebf-8d95-b2a3c843fd4d,TCGA-E2-A15T
d504a28c-f8e7-4c5e-b01a-23b4cdd1dd8a,TCGA-BH-A1EN
83834ecf-bc98-416a-98c0-824229e6cfe0,TCGA-A2-A0ET
3fd9c506-ed43-45db-bff4-6e968ac19564,TCGA-E2-A14V
68bb844b-1bd7-4828-97d0-e284a7998cbf,TCGA-E9-A1RI
fa94f266-1ed4-440a-8d10-3c72ce4100ba,TCGA-AR-A2LJ
aa3d8e3d-68cb-47dc-80c0-d50917cb4878,TCGA-A8-A083
ae8996bd-b0b7-4f9b-91fa-606f95d49f8c,TCGA-3C-AALK
05ebe1e0-bf0d-4622-bc45-b0eacffdebcc,TCGA-AC-A2FK
2ae456c7-57fa-4146-9b29-2d4129f0cf7c,TCGA-B6-A0WY
b85209a5-128a-4aff-83d4-1ab336d82b95,TCGA-A2-A0CV
0f3b932e-de72-483f-9ef6-74ae972637bd,TCGA-A2-A0EY
f5b6634d-5891-4550-bde6-7a0383e5e3da,TCGA-AR-A1AL
c8e8f4e7-7aae-41f7-9d36-5938d2c2fc04,TCGA-AN-A0XP
5782ee15-ce76-43d2-ba6c-e84284f4a99f,TCGA-A7-A4SF
f1600b0c-f3ac-4c19-8c43-6af450abb6a3,TCGA-EW-A1J5
fe15bb7d-6469-4778-9dc8-9e4c5877942c,TCGA-A8-A07R
05ea028e-6b8a-4352-88aa-057494cf5e80,TCGA-AN-A046
37d359b3-d8f5-44cf-8f30-57dfdbbab8c1,TCGA-E2-A15I
839aaefe-1755-4131-9b89-2610481a13c4,TCGA-LL-A740
f18a5a92-2b2e-4834-8610-df98760db5aa,TCGA-EW-A3E8
