Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Human cytomegalovirus infection	4/225	4.743468e-01	7.999079e-01	0	0	1.132764e+00	8.448342e-01	PDGFRA;PRKCB;CCR5;EGFR
KEGG_2021_Human	Ferroptosis	1/41	4.787602e-01	7.999079e-01	0	0	1.564092e+00	1.152041e+00	MAP1LC3C
KEGG_2021_Human	Longevity regulating pathway	2/102	4.792075e-01	7.999079e-01	0	0	1.251438e+00	9.205845e-01	CAMK4;IGF1
KEGG_2021_Human	Tryptophan metabolism	1/42	4.869865e-01	8.066876e-01	0	0	1.525866e+00	1.097889e+00	INMT
KEGG_2021_Human	cGMP-PKG signaling pathway	3/167	4.910312e-01	8.072255e-01	0	0	1.144524e+00	8.140400e-01	SLC8A3;KCNMB1;MYLK
KEGG_2021_Human	Drug metabolism	2/108	5.093726e-01	8.248794e-01	0	0	1.180240e+00	7.961610e-01	FMO1;FMO2
KEGG_2021_Human	Insulin resistance	2/108	5.093726e-01	8.248794e-01	0	0	1.180240e+00	7.961610e-01	PRKCB;PRKCQ
KEGG_2021_Human	Chemical carcinogenesis	4/239	5.213586e-01	8.380357e-01	0	0	1.064514e+00	6.933362e-01	HSD11B1;FGF7;PRKCB;EGFR
KEGG_2021_Human	Carbohydrate digestion and absorption	1/47	5.262171e-01	8.391040e-01	0	0	1.359665e+00	8.729611e-01	PRKCB
KEGG_2021_Human	Cholinergic synapse	2/113	5.336237e-01	8.391040e-01	0	0	1.126788e+00	7.076954e-01	PRKCB;CAMK4
KEGG_2021_Human	Serotonergic synapse	2/113	5.336237e-01	8.391040e-01	0	0	1.126788e+00	7.076954e-01	PRKCB;HTR2A
KEGG_2021_Human	Glutamatergic synapse	2/114	5.383749e-01	8.404845e-01	0	0	1.116670e+00	6.914425e-01	PRKCB;SLC17A7
KEGG_2021_Human	Cholesterol metabolism	1/50	5.483048e-01	8.445605e-01	0	0	1.276225e+00	7.669143e-01	LIPG
KEGG_2021_Human	Axon guidance	3/182	5.487697e-01	8.445605e-01	0	0	1.047808e+00	6.287650e-01	BOC;SLIT3;PAK3
