Gene,logFC,pvalue
TMEM100,1.0731771243579165,2.027454948957486e-80
TBX18,1.050958907381814,3.479614671477941e-80
CADM3,1.1248996954986281,7.16551417865418e-80
GRAP2,1.1500673971655058,1.0463037859346157e-79
TLL1,1.095350704132802,2.0794197159427244e-79
GPR55,0.9807932971525681,2.4275891669153663e-79
INMT,1.103607599936355,2.4299629502966487e-79
CNKSR2,1.0110819538782954,3.501164154868514e-79
BHMT2,1.100341871906151,4.269196074556774e-79
PRELP,1.0800924952159128,5.690428193432187e-79
BMX,1.1166135225038398,8.648224908914491e-79
MMP27,1.121615728531839,1.0437169702978799e-78
FBLN2,1.1875762053703784,1.1013989213896305e-78
KLRB1,1.127826465469837,1.8099660017466625e-78
TSPAN7,1.087876779299203,1.824402474364005e-78
CNTNAP3,1.0182276813729945,2.007849774419731e-78
ISM1,1.112310817616213,2.0299565607737295e-78
ADAM33,1.108978523538299,3.0823776907090817e-78
KIT,1.0915090833085568,3.995415790542827e-78
KCNA6,1.0831479446012229,5.430829412735745e-78
FAT4,1.1158359575247758,6.009208829235317e-78
ECRG4,1.0820007139843364,6.278146798112332e-78
MAB21L1,1.0715890123363083,6.882957307144162e-78
C16orf54,1.1001601318260483,7.595469959223543e-78
PTX3,0.9146277743625987,9.020723215874456e-78
EGR2,1.15879042445903,1.939944491227167e-77
ENPP6,1.0134190361610709,2.0622466982606402e-77
CDHR1,1.1018153578596082,3.3136752435681788e-77
PODN,1.0766289273882008,4.569786253885116e-77
CLEC10A,1.1258390235035791,5.53161374780461e-77
FGL2,1.0813711552688958,8.687946087223543e-77
PROX1,1.0349580574157953,1.1572734600682187e-76
SPOCK2,1.0558831125952757,1.8958052995529806e-76
MYH11,1.036331607404248,1.929443440165844e-76
CD3G,1.1086900217408777,2.840931533954071e-76
ZNF831,1.118174594995852,4.150671187075449e-76
GDF10,1.1275908388585851,4.98772901928193e-76
ITK,1.1080791679211677,5.238078691105835e-76
ZNF521,1.0829429502961516,6.139609544659396e-76
AOC3,1.0877697895454053,7.30176086131957e-76
WDR86,1.1291898320612412,8.942358578806506e-76
CAVIN2,1.079001499747244,1.1300790917770461e-75
BCL11B,1.1077133500016503,1.2115293626726494e-75
