,PC1,PC2,Cluster
dbb2f12c-e200-412a-9023-0126d6d69a52,-0.8013361764920904,-64.61837825769994,1
8832d658-24d2-4d12-a025-959d5eed1271,6.788020098044175,-62.258486205461566,1
6fb7c578-dec9-4fe8-a9bf-3888bb765658,23.45582148931604,42.61256123167586,0
3d1bf8fc-c86b-436e-ab0c-3734af129b09,-14.45256776640491,-2.178004205645731,2
e7a1cdcf-ec99-44fd-a13b-604cf15b2bd4,-5.344189320327135,16.368990032534764,0
a5ecc76e-a696-4e90-8bb4-7a9965e2f8a8,8.18036866448935,-29.637916164142833,1
fead73ce-2e66-4647-8b6c-b8bbdaaf30fe,37.36671857977571,-15.185121918011887,1
5a277308-f1bc-47b3-a397-aeabe9db8dc6,15.884941613507753,8.20900232079855,0
f9a27067-7485-4c9f-986b-878aa6cd132c,1.3748174422114054,26.52825292737455,0
6ddab78f-8bf5-43ef-847b-f68c15475d46,-4.874717122360414,-7.785404826987007,2
e590db5d-2577-43ec-9d39-45a257be5562,-32.750480748231425,0.6928120669438855,2
6d1979a2-956e-42d3-a192-01d872e36d22,-37.746927461919185,14.378269966194035,2
d1ad6c3b-4e2a-40cd-b3e6-098b845d59cb,33.449504903964474,40.647084612005806,0
553e13f9-e00e-4b05-b934-c3837ad4d02d,-24.386519852585124,11.698318877706178,2
1bc678a3-1850-4ab6-874b-d68992fddc7b,-43.12540533173886,-3.2342883093450894,2
c7e61a1c-fad6-4fc1-ba1a-49189d4fc0f1,25.32209589323136,-0.7430773651982379,0
960df455-dab8-4c59-9a99-579cdabe4d19,-15.602599210196988,-5.770482614672582,2
f77281dc-f8c5-4da7-b151-873b03e986ad,-1.6762226241893903,10.796062418795913,0
1990cbfd-497e-4fcb-ad10-251e410c0d29,11.744491472042112,-5.419554683537258,0
94e93460-c9fc-48f9-a2de-3722231f54b6,-3.346831614986064,-7.703647744360093,2
ad44b37b-0bd2-4289-b03f-d52858da2d0f,-15.579588593465635,8.253105741832172,2
040e40de-4c19-423f-98dc-151e2633d085,-1.5981810508933927,4.718722629575343,0
1467bc96-cad8-4011-962e-d43e6c725f63,-13.232383268371906,11.66620864234359,2
2b9e2225-fb4d-4bc5-8c9a-58cd993627f9,31.58124784285193,16.054347573267265,0
2429f1fd-8612-4944-a405-296a52daec57,-0.6488730669168764,2.6755952331572592,0
9ae5c03c-326d-4492-9cc3-4ba17beb09ad,13.445252568228012,-49.61205250671879,1
9ba7cd75-a96c-4220-9f57-c9f0fb545a95,24.322100607641925,-43.43248314708784,1
b6df0d7c-1c41-4b7d-8685-ce6fba4e7ab3,-40.834187983403595,-13.382812388881009,2
23dace7d-4200-46ee-8501-96c4b5084851,7.530580149859334,17.945266677125588,0
0c087071-89ba-4fc8-ab47-c4f1c60fa24c,13.194584987826628,-58.19886995639669,1
4614147d-8f49-42b0-a43d-3ef88e6f0af4,-39.43746593116179,6.130804689176569,2
13fc37db-3160-4e82-bd63-52fc295e0e19,-38.28400980138798,-0.07480443804654617,2
ba2e1bd2-56f5-4dfb-94b5-92c50c58b31e,8.8245129555073,26.20657229544019,0
5842a066-d158-474e-a4db-034f5797d865,1.68449585854606,-57.972440911774655,1
834c833a-1e2d-48b6-87d5-e19bf2db6e1a,22.706614104165578,28.50207657690826,0
4387a2a8-5011-44c4-8027-61d5ab3792a0,9.95989305836888,9.587658183277313,0
2df3cde4-5d53-4e2c-829a-e609f1d92a7b,6.095863582292795,5.649814863353302,0
97a50d88-e662-43d5-9cef-2915545e8968,-35.041349216030724,-4.682011288019101,2
6e79eeb3-9eae-45f4-92a5-fba71c154c1a,-7.0170169587489175,-8.65034010852953,2
1924888b-3b46-4079-a403-d758975a37bd,-12.906435417969666,10.44554767487265,2
a32190c5-a193-4e90-ac98-38a600bb10f0,2.7452036023620963,14.973425120505997,0
ee6709eb-718c-4a0e-8b57-3068e0e0fbaf,22.54857659345723,-36.54393501345172,1
021d9e06-9d27-400c-8776-08e89c817b46,21.315607393874576,-5.7032623896569214,0
b25117ce-5a14-4b43-bbfe-513b957464d0,25.881613795011862,-38.67708882239283,1
b44be803-b398-4e93-b459-40ecdf2cb130,48.00917058387496,-22.632452778337136,1
09cf8de3-bb0f-434d-8cb3-9f5eeb264b6b,27.119653760538785,44.32111796071704,0
92e1baff-0f43-4841-aab9-fdda0078673a,15.98257550590902,28.19470526318432,0
89f7da93-c1fd-410b-8479-64ad9bed850e,11.945896905652795,21.52302615944508,0
3f94086c-9e16-403e-b191-e03e9b6e3ce2,61.13508933238054,3.026517366932242,1
ce362483-60b7-4654-b201-834c60e38690,-2.7297520245781253,-8.189967377317622,2
748e4eaa-2b96-4dce-a903-c7df733d7f50,-0.35732947846883284,14.800723227509218,0
853013f2-fee7-4489-a2a2-fa36112a1c73,-35.85432045127236,-1.5141698826163628,2
